country,total_population,pop_under_18,pop_under_5,an_pop_growth_2000_2020,an_pop_growth_2020_2030,,total_fertility,life_exp_1970,life_exp_2000,life_exp_2021,dep_ratio_total,dep_ratio_child,dep_ratio_oldage,urban_pop_share,ann_growth_rate_2000_2020,ann_growth_rate_2020_2030,,net_mig_rate,under_five_mort_1990,under_five_mort_1992,under_five_mort_1994,under_five_mort_1996,under_five_mort_1998,under_five_mort_2000,under_five_mort_2002,under_five_mort_2004,under_five_mort_2006,under_five_mort_2008,under_five_mort_2010,under_five_mort_2012,under_five_mort_2014,under_five_mort_2016,under_five_mort_2018,under_five_mort_2020,under_five_mort_2022,under_five_mort_2024,female_life_exp_2021,materal_universal_health_2019,family_planning_demand_2016_2021,antenatal_care_1_visit,antenatal_care_4_visit,per_birth_attendent,per_inst_delivery,per_c_section,num_materal_deaths,maternal_mort_ratio,total_ece_attendence,male_ece_attendance,female_ece_attendance,low20_ece_attend,high20_ece_attend,total_earlystim,male_earlystim,female_earlystim,low20_earlystim,high20_earlystim,books_athome,toys_athome,total_inq_sup,male_inq_sup,female_inq_sup,low20_inq_sup,high20_inq_sup,total_development_ontrack,male_development_ontrack,female_development_ontrack,low20_development_ontrack,high20_development_ontrack,oos_ male_age_beforeprimary,oos_female_age_beforeprimary,oos_male_primaryrate,oos_female_primaryrate,oos_male_lowsecrate,oos_female_lowsecrate,oos_male_upsecrate,oos_female_upsecrate,male_primary_complrate,female_primary_complrate,male_lowsec_complrate,female_lowsec_complrate,male_upsec_complrate,female_upsec_complrate,lo_grade3_prof_read,lo_grade3_prof_math,lo_endprim_prof_read,lo_endprim_prof_math,lo_lowsec_prof_read,lo_lowsec_prof_math,youth_lit_rate_male,youth_lit_rate_female,child_labor_total,child_labor_male,child_labor_female,child_marriage_female,child_marriage_male,child_under1_total,child_under5_total,child_under5_male,child_under5_female,mother_nb_cb,prop_child_socoprotect,bottom40_socoprotect_bene,top20_socoprotect_bene,bottom20_socoprotect_bene,bottom40_householdincomeshare,top20_householdincomeshare,bottom20_householdincomeshare,gini_coef,palma_index,vmr_ratio,gdp_percaptia,sigi_index,gender_eq_legal,maternity_leave,paternity_leave,ed_attan_us_male,ed_attan_us_female,rural_lf_part_rate_male,urban_lf_part_rate_male,total_lf_part_rate_male,rural_lf_part_rate_female,urban_lf_part_rate_female,total_lf_part_rate_female,rural_unemploy_male,urban_unemploy_male,total_unemploy_male,rural_unemploy_female,urban_unemploy_female,total_unemploy_female,male_mobilephone,female_mobilephone,finanical_inclusion_male,finanical_inclusion_female,unpaid_time_use_male,unpaid_time_use_female
Montenegro,628,136,37,0,0,7,2,69,74,76,53,28,25,68,1,0,,0,16,14,2,9,2,2,15,2,11,8,1,2,1,5,3,2,16,7,80,67,33,97,94,99,99,24,0,6,53,51,56,18,65,91,91,91,69,100,58,64,5,4,5,5,2,90,90,91,76,92,15,17,3,3,6,6,13,10,95,98,93,97,83,90,-,-,-,43,56,54,99,99,8,9,7,6,3,98,99,100,99,100,-,61,11,43,16,44,5,34,1,1,8910,-,-,Yes,No,80,65,60,66,64,45,49,48,13,16,15,14,17,16,-,-,-,-,-,-
Montserrat,4,1,0,-1,0,0,2,64,75,76,44,19,25,9,6,0,,-9,17,11,5,4,5,5,15,5,9,6,3,3,1,-,-,-,0,0,77,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19,0,15,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Morocco,37077,11779,3285,1,1,651,2,49,67,74,52,41,11,64,2,2,,-1,81,52,18,5,20,16,64,15,37,28,11,9,2,21,13,2,11788,7239,76,73,72,89,54,87,86,21,470,71,39,36,41,6,78,36,36,36,26,47,21,14,7,-,-,-,-,-,-,-,-,-,24,30,2,3,6,9,24,27,-,-,-,-,-,-,-,-,36,18,27,12,98,97,-,-,-,14,-,-,97,97,97,-,-,-,-,-,17,47,7,40,2,1,3204,Very high,70,Yes,Yes,-,-,83,62,70,26,19,22,6,10,9,8,13,11,96,95,41,17,-,-
Mozambique,32077,16168,5260,3,2,1174,5,42,49,59,86,81,5,38,4,4,,0,246,171,70,4,74,65,163,51,62,47,28,61,13,25,17,2,79353,32279,62,47,56,94,51,73,55,4,1500,127,-,-,-,-,-,47,45,48,48,50,3,-,33,33,32,-,-,-,-,-,-,-,-,-,1,4,35,41,57,66,44,39,15,11,8,5,-,-,-,-,-,-,-,-,-,-,-,53,10,46,55,54,56,0,0,-,-,-,12,60,4,47,4,1,504,Low,70,No,Yes,12,6,83,72,79,86,63,77,1,7,3,1,11,4,37,26,51,33,-,-
Myanmar,53798,16125,4491,1,1,920,2,51,60,66,46,36,10,31,1,2,,-1,115,89,42,4,46,38,82,34,48,37,22,29,4,20,15,2,38581,19939,69,61,75,81,59,60,37,17,1700,179,23,22,25,11,42,52,51,53,41,73,5,72,13,14,13,21,5,-,-,-,-,-,88,88,-,-,22,20,47,38,82,84,45,45,14,19,-,-,11,12,-,-,95,96,10,10,10,16,5,78,81,82,81,2,2,50,13,33,22,40,9,31,1,1,1408,High,-,Yes,Yes,24,22,78,72,76,47,45,46,0,1,0,0,1,1,68,57,26,26,-,-
Namibia,2530,1060,333,1,1,69,3,54,52,59,67,61,7,53,4,3,,-2,73,77,39,3,43,35,49,29,28,24,19,14,13,18,17,0,2703,1352,63,62,80,97,63,88,87,14,150,215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33,30,-,-,3,0,22,23,75,86,48,62,33,39,-,-,-,-,-,-,94,96,-,-,-,7,1,65,78,-,-,25,23,35,26,18,9,64,3,56,6,0,4957,Low,-,No,No,19,16,54,71,63,49,61,56,16,24,21,13,22,19,-,-,-,-,-,-
Nauru,13,6,2,1,1,0,4,60,59,64,70,66,4,100,1,1,,-5,67,43,28,2,30,25,51,23,32,26,18,12,6,14,12,1,10,6,67,-,43,95,40,97,99,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,0,6,3,12,4,52,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,12,-,96,-,-,-,-,-,-,-,19,43,8,-,2,-,9397,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Nepal,30035,10742,2952,1,1,610,2,43,63,68,55,46,9,21,3,3,,10,139,79,27,5,29,25,96,23,58,39,16,26,5,30,16,3,16392,9853,70,53,62,89,78,77,78,15,1100,174,62,64,60,52,87,73,74,73,61,91,3,66,25,26,24,40,13,65,65,66,53,82,6,15,-,-,7,3,26,13,81,83,71,75,27,28,-,-,-,-,-,-,94,91,22,20,23,33,9,59,77,76,78,10,23,-,-,-,-,-,-,33,1,1,1071,Medium,-,Yes,Yes,24,10,86,75,84,86,64,82,2,7,3,1,10,3,-,-,-,-,-,-
Netherlands,17502,3309,866,0,0,180,2,74,78,82,55,24,31,93,1,1,,3,8,6,4,2,4,4,7,4,5,4,3,2,1,5,2,4,713,482,83,86,-,-,-,-,-,14,7,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,1,1,3,2,1,0,-,-,-,-,-,-,-,-,99,84,76,84,-,-,-,-,-,-,-,-,100,100,100,100,100,-,-,-,23,37,9,28,1,1,52295,Very low,100,Yes,Yes,76,70,69,70,70,59,59,59,2,4,3,3,3,3,86,82,99,100,-,-
New Zealand,5130,1159,310,1,1,64,2,71,79,82,53,29,24,87,1,1,,7,11,7,5,2,5,4,9,4,4,4,3,3,1,4,3,2,297,162,84,86,-,-,-,96,97,23,4,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,9,1,1,0,0,4,1,-,-,-,-,-,-,-,-,90,56,81,78,-,-,-,-,-,-,-,-,100,100,100,100,67,-,-,-,-,-,-,34,1,-,41558,Very low,-,Yes,No,76,75,79,74,75,68,64,65,3,4,4,4,5,4,-,-,-,-,-,-
Nicaragua,6851,2451,698,1,1,141,2,55,67,74,54,46,8,59,2,2,,-2,67,39,13,5,15,12,51,11,23,17,7,7,3,15,10,2,1868,1036,77,70,90,95,88,94,71,30,110,78,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,19,-,85,-,-,18,3,-,-,-,14,52,5,46,3,1,1913,Very low,-,No,Yes,-,-,91,80,85,37,58,50,2,8,5,5,5,5,-,-,-,-,-,-
Niger,25253,14056,4972,4,3,1144,7,36,49,62,105,100,5,17,4,4,,0,332,229,115,3,119,111,134,60,55,44,34,64,33,26,21,1,124291,38501,63,37,46,84,37,44,44,1,4900,441,3,3,2,0,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76,76,37,45,61,69,84,89,35,24,10,4,4,1,44,67,14,8,-,-,51,36,34,34,34,76,6,67,64,65,62,-,4,29,17,13,20,42,8,34,1,1,554,-,-,Yes,Yes,5,2,88,71,84,66,40,61,0,2,1,0,2,0,77,55,20,11,-,-
Nigeria,213401,106611,34831,3,2,7923,5,40,47,53,86,81,6,53,4,3,,0,209,182,111,2,117,104,124,71,50,46,35,38,20,29,22,1,852298,276463,53,44,36,67,57,43,39,3,82000,1047,36,36,35,8,78,63,62,63,46,87,6,46,32,32,31,31,30,61,60,62,47,85,-,-,-,-,-,-,-,-,71,71,66,59,57,44,17,11,-,-,-,-,82,68,31,32,31,43,3,35,43,43,42,0,12,45,16,21,19,42,7,35,1,1,2230,High,30,No,No,51,39,64,63,63,47,50,49,6,14,9,5,11,8,49,32,51,27,-,-
Niue,2,1,0,0,0,0,2,64,67,71,70,45,25,47,1,1,,-2,25,32,24,1,27,22,21,20,13,17,13,5,5,13,10,1,1,0,73,-,-,100,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
North Macedonia,2103,408,105,0,0,20,1,64,73,74,45,23,21,59,0,0,,0,37,16,5,5,6,5,33,5,17,9,3,3,2,11,4,5,108,69,76,68,30,97,96,100,99,38,1,3,37,41,32,7,67,88,86,91,70,99,55,62,6,7,5,11,1,82,76,89,67,91,51,51,1,1,-,-,-,-,97,100,93,95,86,79,-,-,-,52,45,39,-,-,3,4,2,8,-,99,100,100,100,100,-,-,-,-,19,39,6,31,1,1,6022,-,-,Yes,Yes,75,62,70,65,66,46,45,45,14,18,17,18,18,18,-,-,-,-,-,-
Norway,5403,1108,280,1,1,54,2,74,79,83,54,26,28,83,1,1,,2,9,5,2,4,2,2,7,2,4,3,1,2,1,4,2,3,117,69,85,86,-,-,-,99,99,16,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,0,0,0,1,8,8,-,-,-,-,-,-,99,82,-,65,81,81,-,-,-,-,-,0,-,-,100,100,100,100,100,-,-,-,23,37,9,25,1,1,75420,Very low,100,Yes,Yes,79,79,67,68,68,58,62,61,4,4,4,3,4,3,-,-,99,100,-,-
Oman,4520,1369,443,3,1,83,3,48,73,73,42,38,4,87,4,2,,-5,39,16,10,2,11,9,32,9,17,7,5,8,2,8,6,1,870,380,75,69,40,99,74,100,99,19,15,17,29,28,31,-,-,81,78,84,-,-,25,75,45,44,45,-,-,68,65,72,-,-,13,14,-,-,2,3,8,17,-,-,-,-,-,-,-,-,59,33,-,27,98,99,-,-,-,4,-,-,100,100,100,-,-,-,-,-,-,-,-,40,-,-,15343,-,-,No,No,57,72,78,85,84,25,40,36,0,1,1,6,8,7,98,96,-,-,-,-
Pakistan,231402,100538,29604,2,2,6375,3,55,62,66,70,63,7,37,2,3,,-2,140,108,63,3,68,59,107,53,64,57,39,14,8,38,31,1,399429,251307,69,45,49,91,52,68,70,23,9800,154,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,12,-,-,-,-,-,-,64,55,55,45,24,23,-,-,-,-,-,-,80,65,11,13,10,18,5,35,42,43,42,-,5,60,8,33,22,41,9,33,1,1,1285,Very high,20,Yes,No,13,10,84,79,82,28,12,22,4,5,4,3,10,4,65,26,35,7,-,-
Palau,18,5,1,0,0,0,2,56,66,66,44,30,14,81,0,0,,0,35,28,16,3,18,14,30,15,19,15,9,7,4,10,7,2,4,2,71,-,-,90,81,97,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,-,-,-,-,-,-,51,4,-,14902,-,-,No,No,88,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Panama,4351,1366,385,2,1,77,2,65,74,76,54,41,13,69,2,2,,1,31,26,14,3,15,12,26,12,18,15,8,5,3,12,8,2,1067,596,80,77,65,99,88,95,96,32,38,50,37,38,35,28,67,74,73,74,55,89,26,69,3,3,2,6,1,80,80,81,77,95,88,88,10,11,13,12,35,31,95,96,75,81,57,68,-,-,-,-,36,19,99,99,2,3,1,26,-,-,97,97,97,19,22,51,12,25,12,54,4,51,3,1,15731,-,-,Yes,Yes,52,57,86,78,80,52,56,55,2,5,4,3,7,6,-,-,-,-,-,-
Papua New Guinea,9949,4057,1207,3,2,254,3,52,62,65,60,55,5,13,3,3,,1,85,71,43,2,46,39,62,34,32,30,21,14,8,18,15,1,10765,5382,68,33,49,76,49,56,55,3,490,192,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,29,4,10,24,32,50,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,4,13,13,13,14,-,-,-,-,-,-,-,-,42,2,1,2829,-,-,No,No,-,-,46,54,48,46,50,46,3,6,3,1,3,1,-,-,-,-,-,-
Paraguay,6704,2305,682,1,1,138,2,63,70,70,54,45,10,62,2,2,,-1,46,34,18,3,20,16,36,16,22,18,10,7,3,17,10,2,2512,1335,73,61,79,99,86,98,93,46,99,71,31,30,32,10,61,64,62,65,40,90,23,60,3,2,3,4,2,82,80,84,76,91,23,23,-,-,-,-,32,28,93,96,81,79,60,67,-,-,-,-,32,8,99,99,18,20,13,22,-,57,71,71,71,8,19,58,4,28,14,51,5,47,3,1,5415,Medium,-,Yes,Yes,43,42,87,84,85,55,62,60,4,6,5,8,9,8,-,-,-,-,-,-
Peru,33715,10639,2917,1,1,594,2,47,70,72,53,40,13,79,1,1,,2,80,38,14,5,15,13,57,11,28,16,7,10,2,14,7,3,8333,4235,75,78,67,98,96,96,95,36,410,69,77,76,79,70,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,-,-,3,3,15,21,95,95,83,83,78,72,-,-,-,-,-,-,100,99,15,14,15,14,-,-,96,-,-,9,16,81,2,51,15,47,5,43,2,1,6978,Low,100,Yes,Yes,63,53,95,83,85,88,66,71,0,4,3,0,4,3,85,79,51,34,-,-
Philippines,113880,41441,11923,2,1,2485,3,62,69,69,56,48,8,48,2,2,,-1,57,38,26,2,28,23,40,20,19,17,12,8,5,14,10,2,63392,30500,72,55,56,94,87,84,78,13,1900,78,29,26,33,17,58,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36,33,3,4,12,7,24,17,89,95,75,88,74,83,-,-,10,17,19,-,98,99,-,-,-,17,3,88,92,92,91,12,31,55,13,28,16,49,6,44,2,1,3485,Very high,100,Yes,Yes,28,33,74,72,73,45,49,47,2,3,2,2,3,3,-,-,30,39,-,-
Poland,38308,6982,1908,0,0,363,1,70,74,76,52,23,29,60,0,0,,0,17,9,4,4,5,4,15,4,11,6,3,3,1,4,3,2,1614,1005,80,74,-,-,-,100,100,21,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,1,2,4,2,2,-,-,-,-,-,-,-,-,98,73,85,85,-,-,-,-,-,-,-,-,100,100,100,100,100,62,9,38,22,39,8,29,1,1,15695,Very low,-,Yes,Yes,90,86,66,66,66,47,50,49,3,3,3,4,3,4,-,-,-,-,-,-
Portugal,10290,1690,433,0,0,80,1,67,77,81,56,21,35,67,1,0,,3,15,7,3,4,3,3,12,3,7,3,2,4,1,4,2,3,255,137,84,84,-,100,-,99,99,31,10,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,6,0,1,0,0,-,-,-,-,-,-,-,-,-,-,97,74,80,77,100,100,-,-,-,-,-,-,100,100,100,100,93,-,-,-,20,41,7,32,1,1,23214,Very low,-,Yes,Yes,42,44,63,65,65,49,56,55,5,6,6,7,7,7,-,-,-,-,-,-
Qatar,2688,475,145,7,0,27,2,67,75,79,21,19,2,99,7,0,,-11,21,12,5,4,6,5,18,5,11,7,3,4,1,7,3,4,152,88,81,74,69,91,85,100,99,20,2,8,41,41,41,-,-,88,89,88,-,-,40,55,12,12,11,-,-,84,83,85,-,-,6,5,3,0,4,10,-,-,-,-,-,-,-,-,-,-,66,40,49,37,-,-,-,-,-,4,1,-,100,100,100,-,-,-,-,-,-,-,-,40,-,-,62088,-,-,No,No,37,60,92,96,95,53,58,57,0,0,0,0,1,0,100,100,-,-,2,8
Republic of Korea,51830,7517,1651,0,0,289,1,62,76,84,40,17,23,81,1,0,,1,16,8,3,5,3,3,13,2,7,3,1,4,1,3,2,3,860,400,87,87,-,-,97,100,100,32,24,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,10,1,1,5,5,7,8,-,-,-,-,-,-,-,-,-,95,85,85,-,-,-,-,-,-,-,-,-,-,-,-,40,-,-,-,21,39,8,35,1,1,31846,Low,70,Yes,Yes,83,70,76,72,73,56,53,54,3,4,4,3,4,4,97,95,95,95,4,14
Republic of Moldova,3062,709,202,-2,0,38,2,64,66,69,50,30,20,43,-2,1,,-5,33,31,14,4,16,13,28,12,19,21,11,5,2,12,7,3,552,402,74,67,64,99,95,100,99,16,5,12,71,74,67,50,88,89,86,92,81,95,68,68,6,6,6,9,5,84,83,84,75,87,0,1,-,-,-,-,13,12,99,99,95,98,63,71,-,-,-,-,57,50,-,-,-,-,-,12,1,98,100,99,100,100,-,51,13,30,24,36,10,26,1,1,4494,Low,90,Yes,Yes,76,74,40,54,45,34,44,38,6,5,6,4,5,4,-,-,43,45,-,-
Romania,19329,3722,1029,-1,0,195,2,68,71,74,54,25,29,54,0,0,,-1,31,21,6,6,7,6,24,5,16,10,3,5,2,6,3,3,1281,632,78,71,47,72,76,93,95,34,20,10,81,80,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,16,13,13,11,12,21,19,-,-,-,-,-,-,-,-,-,-,59,53,99,99,-,-,-,-,-,-,100,100,100,100,100,52,15,32,17,41,5,35,1,1,12913,Very low,100,-,-,74,65,66,65,65,42,48,46,5,4,4,4,3,3,97,96,62,54,-,-
Russian Federation,145103,30178,7890,0,0,1397,1,68,65,69,50,27,23,75,0,0,,2,22,19,5,6,6,5,17,4,11,9,2,5,2,7,3,3,7347,2857,75,75,72,-,-,100,99,13,200,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,1,0,2,1,3,2,-,-,-,-,-,-,-,-,99,91,78,78,100,100,-,-,-,6,-,-,100,100,100,63,100,34,22,13,18,45,7,35,1,1,11585,Low,-,Yes,No,86,84,65,72,70,48,57,55,7,4,5,7,4,4,97,97,75,76,8,18
Rwanda,13462,6162,1889,2,2,404,4,47,47,66,73,67,5,18,3,3,,0,150,185,39,7,43,36,92,30,41,44,18,62,15,28,17,2,15638,7070,68,54,63,98,47,94,93,13,1000,259,34,33,36,24,64,47,46,49,35,62,2,37,28,30,26,35,13,82,80,84,76,91,48,47,6,6,6,2,50,49,48,61,25,30,19,16,-,-,-,-,-,-,84,89,19,17,21,6,0,77,86,86,85,1,5,31,34,14,16,51,6,44,2,1,820,Low,-,No,Yes,12,8,85,78,83,87,71,84,0,4,1,0,5,1,-,-,-,-,-,-
Saint Kitts and Nevis,48,11,3,0,0,1,2,61,70,72,42,28,14,31,0,1,,-2,30,24,15,2,16,13,25,12,19,17,10,5,3,11,8,2,9,6,75,-,-,100,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,21,-,-,-,-,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,-,-,-,-,-,-,-,40,-,-,19935,-,-,No,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saint Lucia,180,40,10,1,0,2,1,64,71,71,38,25,13,19,-1,1,,0,22,18,25,-1,27,22,18,22,12,12,13,5,3,14,11,1,52,27,75,72,72,97,90,100,100,19,1,73,85,87,84,-,-,93,89,96,-,-,68,59,5,5,5,-,-,91,91,92,-,-,2,0,6,1,9,10,14,19,99,99,85,98,70,90,-,-,-,-,-,-,-,-,3,5,2,24,-,78,92,91,93,39,-,-,-,-,11,55,3,51,3,1,11611,-,-,No,No,39,44,72,79,76,65,71,69,12,15,14,15,18,17,-,-,-,-,-,-
Saint Vincent and the Grenadines,104,27,7,0,0,1,2,69,71,70,49,33,16,53,0,1,,-4,24,22,14,2,15,12,20,13,13,13,8,4,5,10,12,-1,19,11,72,73,-,100,100,99,-,-,1,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,42,-,-,6,0,18,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,40,-,-,7458,-,-,No,No,-,-,73,80,77,54,59,57,19,21,20,15,18,17,-,-,-,-,-,-
Samoa,219,96,29,1,1,6,4,60,71,73,75,66,9,18,0,1,,-4,30,21,17,1,18,15,25,14,13,9,7,5,2,9,8,1,99,39,76,53,39,94,97,89,89,8,4,59,26,23,29,18,36,87,86,88,83,92,9,51,16,18,13,16,16,73,70,77,65,75,65,65,-,-,-,-,21,11,96,99,95,99,48,66,-,-,-,-,-,-,99,99,14,16,11,7,2,41,67,67,67,29,0,-,-,-,18,46,7,39,2,1,4324,-,-,No,Yes,70,75,54,61,56,29,41,31,7,10,7,10,10,10,-,-,-,-,-,-
San Marino,34,5,1,1,0,0,1,74,80,81,50,20,30,98,1,0,,1,14,6,2,6,2,2,12,2,7,3,1,3,1,3,2,3,0,0,84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,0,2,5,9,8,53,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,100,100,100,-,-,-,-,-,-,-,28,-,-,48995,-,-,Yes,No,52,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sao Tome and Principe,223,105,30,2,2,6,4,57,62,68,78,71,7,75,4,2,,-4,109,82,15,8,17,14,69,12,26,22,8,22,3,16,9,3,97,48,70,60,58,98,84,97,95,10,9,146,35,36,34,19,57,43,42,44,37,68,6,71,21,21,22,29,17,63,59,67,61,75,49,46,6,6,12,7,19,16,82,92,60,60,26,31,-,-,-,-,-,-,98,98,11,9,12,28,3,99,99,99,98,2,-,-,-,-,12,61,4,56,4,1,1947,-,-,Yes,No,46,32,78,71,74,43,40,42,7,11,9,18,23,21,-,-,-,-,-,-
Saudi Arabia,35950,11026,3187,2,1,629,2,53,72,77,40,37,4,85,3,1,,-4,44,22,7,6,7,7,35,6,22,12,3,8,2,9,4,3,4350,2060,79,73,-,97,-,99,-,-,110,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,45,5,5,0,3,3,9,-,-,-,-,-,-,-,-,63,23,48,15,100,99,-,-,-,-,-,-,99,100,99,-,3,-,-,-,-,-,-,42,-,-,23140,-,-,No,Yes,64,59,76,79,78,22,22,22,2,3,3,24,23,23,99,97,81,58,-,-
Senegal,16877,8168,2571,3,2,550,4,41,57,67,82,76,6,49,3,3,,-1,139,130,39,6,42,35,71,29,40,38,21,34,8,26,19,1,20831,11590,69,49,53,98,56,75,80,7,1400,261,21,21,21,6,51,20,18,21,15,33,1,29,39,39,38,30,54,67,66,68,59,71,85,83,30,19,64,57,81,79,44,50,27,30,11,10,48,79,41,27,9,8,-,-,23,27,19,31,1,77,79,80,77,3,1,7,69,3,17,47,6,40,2,1,1447,Medium,-,Yes,Yes,17,5,61,54,57,34,36,35,3,9,6,3,10,7,-,-,-,-,-,-
Serbia,7297,1253,345,0,-1,68,2,66,71,74,54,22,32,57,0,0,,0,28,13,5,4,6,5,24,5,17,8,4,3,1,5,5,0,374,240,77,71,38,99,97,100,100,32,7,10,61,58,63,11,80,96,95,97,93,97,78,83,4,3,4,7,2,97,96,99,99,97,8,7,3,3,3,3,16,13,100,100,100,99,96,92,-,-,-,68,62,60,100,100,10,11,8,6,1,100,100,100,100,-,-,51,18,35,17,42,5,33,1,1,7412,Very low,100,Yes,Yes,79,69,67,61,63,48,48,48,8,11,10,10,12,11,97,92,73,70,9,19
Seychelles,106,29,9,1,0,2,2,58,70,71,45,34,11,58,2,1,,1,16,14,14,0,15,13,14,12,11,9,9,4,2,9,9,0,23,14,76,70,-,-,-,100,-,-,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,2,2,14,9,7,20,9,-,-,-,-,-,-,-,-,-,-,-,-,99,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,39,7,47,3,1,17448,-,-,Yes,Yes,48,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sierra Leone,8421,3880,1188,3,2,264,4,39,45,60,74,69,5,43,4,3,,0,261,226,105,4,111,98,155,78,52,48,31,42,25,33,23,2,27155,8166,61,39,53,98,79,87,83,4,1200,443,12,11,12,1,41,19,19,19,13,31,2,41,30,30,30,32,25,51,48,55,43,72,60,57,2,2,49,49,64,67,63,65,47,42,27,18,6,6,-,-,-,-,71,63,25,26,25,30,4,93,90,90,91,-,1,-,-,-,20,44,8,36,2,1,528,High,-,No,No,18,7,51,63,58,48,63,58,11,3,5,6,3,4,-,-,-,-,-,-
Singapore,5941,860,246,2,1,42,1,69,79,83,35,16,19,100,2,1,,3,8,4,2,3,2,2,6,2,4,2,1,2,1,3,2,2,87,32,85,86,-,-,-,100,100,-,3,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,-,-,-,-,-,97,96,89,92,100,100,-,-,-,0,-,-,100,-,-,89,-,-,-,-,-,-,-,47,2,-,65233,Low,-,Yes,Yes,77,72,76,79,78,60,63,62,2,3,3,2,4,3,89,88,100,96,-,-
